Time - Voltage	Amplitude - Voltage
25.575544	0.00149434
25.575548	0.00363235
25.575552	1.42E-05
25.575556	0.00198772
25.57556	0.00116541
25.575564	0.00231665
25.575568	0.00017864
25.575572	0.00544143
25.575576	0.00100095
25.57558	0.00281004
25.575584	0.0016588
25.575588	0.00182326
25.575592	0.0016588
25.575596	0.000672026
25.5756	0.00511251
25.575604	0.00116541
25.575608	0.0029745
25.575612	0.0016588
25.575616	0.00198772
25.57562	0.00182326
25.575624	0.00198772
25.575628	0.00396127
25.575632	0.00182326
25.575636	0.00313896
25.57564	0.00313896
25.575644	0.00248111
25.575648	0.00281004
25.575652	0.00231665
25.575656	0.000672026
25.57566	0.00527697
25.575664	0.00100095
25.575668	0.00132988
25.575672	0.00116541
25.575676	0.00149434
25.57568	0.00215219
25.575684	0.204441
25.575688	0.207072
25.575692	0.205099
25.575696	0.204276
25.5757	0.204934
25.575704	0.204112
25.575708	0.204605
25.575712	0.204441
25.575716	0.202961
25.57572	0.207237
25.575724	0.203125
25.575728	0.206085
25.575732	0.204934
25.575736	0.205592
25.57574	0.205099
25.575744	0.203125
25.575748	0.207566
25.575752	0.203125
25.575756	0.203947
25.57576	0.203618
25.575764	0.204112
25.575768	0.204112
25.575772	0.20477
25.575776	0.206743
25.57578	0.20477
25.575784	0.204441
25.575788	0.205428
25.575792	0.204605
25.575796	0.205099
25.5758	0.204441
25.575804	0.203289
25.575808	0.207237
25.575812	0.203125
25.575816	0.205921
25.57582	0.20477
25.575824	0.205263
25.575828	0.20477
25.575832	0.204934
25.575836	0.206579
25.57584	0.203947
25.575844	0.20477
25.575848	0.205263
25.575852	0.205263
25.575856	0.205756
25.57586	0.205263
25.575864	0.203618
25.575868	0.205921
25.575872	0.201809
25.575876	0.204276
25.57588	0.203783
25.575884	0.20477
25.575888	0.204441
25.575892	0.202796
25.575896	0.207401
25.5759	0.202796
25.575904	0.205921
25.575908	0.20477
25.575912	0.205099
25.575916	0.20477
25.57592	0.202961
25.575924	0.20773
25.575928	0.202796
25.575932	0.203947
25.575936	0.203947
25.57594	0.203947
25.575944	0.204605
25.575948	0.202961
25.575952	0.207401
25.575956	0.202632
25.57596	0.204441
25.575964	0.203618
25.575968	0.204112
25.575972	0.204276
25.575976	0.203125
25.57598	0.207072
25.575984	0.202796
25.575988	0.205921
25.575992	0.204934
25.575996	0.205592
25.576	0.205099
25.576004	0.203125
25.576008	0.206414
25.576012	0.202138
25.576016	0.204934
25.57602	0.203947
25.576024	0.205263
25.576028	0.204934
25.576032	0.206579
25.576036	0.20477
25.57604	0.204934
25.576044	0.205263
25.576048	0.204441
25.576052	0.205099
25.576056	0.202961
25.57606	0.207566
25.576064	0.202961
25.576068	0.203947
25.576072	0.203454
25.576076	0.203783
25.57608	0.203783
25.576084	0.203125
25.576088	0.207237
25.576092	0.203289
25.576096	0.206085
25.5761	0.204605
25.576104	0.205592
25.576108	0.205099
25.576112	0.206085
25.576116	0.20625
25.57612	0.202138
25.576124	0.204605
25.576128	0.203289
25.576132	0.204112
25.576136	0.204276
25.57614	0.20625
25.576144	0.204605
25.576148	0.204934
25.576152	0.205921
25.576156	0.204605
25.57616	0.20477
25.576164	0.202632
25.576168	0.20773
25.576172	0.203454
25.576176	0.204441
25.57618	0.203783
25.576184	0.203947
25.576188	0.204112
25.576192	0.206743
25.576196	0.205263
25.5762	0.203454
25.576204	0.205099
25.576208	0.203618
25.576212	0.204112
25.576216	0.202796
25.57622	0.206908
25.576224	0.203454
25.576228	0.206085
