Time - Dev5/ai0	Amplitude - Dev5/ai0
0	1.50539
0.0005	1.50375
0.001	1.50276
0.0015	1.50227
0.002	1.50342
0.0025	1.5021
0.003	1.50342
0.0035	1.50342
0.004	1.50424
0.0045	1.66624
0.005	1.6396
0.0055	1.65522
0.006	1.65654
0.0065	1.64831
0.007	1.53894
0.0075	1.65325
0.008	1.45063
0.0085	1.60999
0.009	1.64305
0.0095	1.63302
0.01	1.64716
0.0105	1.64914
0.011	1.63795
0.0115	1.52924
0.012	1.40343
0.0125	1.39767
0.013	1.27005
0.0135	1.38468
0.014	1.34619
0.0145	1.38418
0.015	1.4128
0.0155	1.47908
0.016	1.4202
0.0165	1.42102
0.017	1.35113
0.0175	1.33188
0.018	1.3781
0.0185	1.38846
0.019	1.48664
0.0195	1.5276
0.02	1.5544
0.0205	1.57233
0.021	1.52266
0.0215	1.52036
0.022	1.42908
0.0225	1.42908
0.023	1.39931
0.0235	1.52941
0.024	1.5771
0.0245	1.57398
0.025	1.54569
0.0255	1.43879
0.026	1.38336
0.0265	1.36675
0.027	1.39635
0.0275	1.4475
0.028	1.55588
0.0285	1.55934
0.029	1.55704
0.0295	1.59157
0.03	1.57628
0.0305	1.56345
0.031	1.52529
0.0315	1.4725
0.032	1.43056
0.0325	1.48171
0.033	1.56246
0.0335	1.56625
0.034	1.57085
0.0345	1.50868
0.035	1.4822
0.0355	1.49503
0.036	1.48056
0.0365	1.46494
0.037	1.44948
0.0375	1.45704
0.038	1.4623
0.0385	1.51395
0.039	1.53302
0.0395	1.53796
0.04	1.54437
0.0405	1.53467
0.041	1.53089
0.0415	1.53434
0.042	1.53697
0.0425	1.52168
0.043	1.5271
0.0435	1.52496
0.044	1.54733
0.0445	1.55704
0.045	1.5572
0.0455	1.53253
0.046	1.50835
0.0465	1.4975
0.047	1.47711
0.0475	1.47151
0.048	1.46444
0.0485	1.46329
0.049	1.46329
0.0495	1.45967
0.05	1.45984
0.0505	1.45523
0.051	1.45688
