Frame - Plot 0	Y coordinate - Plot 0
0	109
1	114
2	109
3	121
4	125
5	127
6	127
7	125
8	127
9	127
10	126
11	127
12	126
13	127
14	126
15	121
16	120
17	127
18	127
19	118
20	118
21	126
22	121
23	122
24	126
25	123
26	126
27	126
28	126
29	124
30	125
31	121
32	124
33	127
34	127
35	127
36	127
37	126
38	127
39	125
40	125
41	126
42	125
43	124
44	123
45	121
46	77
47	80
48	77
49	118
50	112
51	119
52	78
53	84
54	119
55	118
56	84
57	84
58	87
59	112
60	107
61	85
62	85
63	113
64	82
65	81
66	105
67	80
68	81
69	91
70	78
71	76
72	107
73	76
74	130
75	173
76	278
77	350
78	345
79	379
80	448
81	388
82	422
83	431
84	435
85	529
86	529
87	531
88	520
89	535
90	537
91	512
92	511
93	513
94	533
95	535
96	483
97	463
98	463
99	465
100	456
101	463
102	477
103	581
104	613
105	631
106	613
107	610
108	629
109	580
110	611
111	611
112	603
113	601
114	591
115	583
116	578
117	571
118	553
119	523
120	509
121	485
122	496
123	497
124	493
125	492
126	490
127	485
128	459
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
