Time - Dev7/ai0	Amplitude - Dev7/ai0
0	3.85077
0.001	3.85225
0.002	3.8511
0.003	3.85242
0.004	3.85093
0.005	3.85192
0.006	3.85423
0.007	3.85176
0.008	3.85159
0.009	3.85159
0.01	3.85439
0.011	3.85225
0.012	3.85258
0.013	3.85308
0.014	3.85258
0.015	3.85357
0.016	3.85242
0.017	3.85209
0.018	3.85275
0.019	3.85324
0.02	3.85324
0.021	3.85275
0.022	3.84978
0.023	3.85275
0.024	3.85324
0.025	3.85159
0.026	3.85308
0.027	3.85143
0.028	3.85275
0.029	3.84879
0.03	3.85176
0.031	3.85357
0.032	3.85373
0.033	3.85406
0.034	3.85324
0.035	3.85126
0.036	3.85061
0.037	3.85373
0.038	3.85176
0.039	3.85143
0.04	3.85324
0.041	3.85143
0.042	3.85373
0.043	3.85209
0.044	3.85225
0.045	3.8511
0.046	3.85126
0.047	3.85159
0.048	3.85242
0.049	3.85225
0.05	3.85061
0.051	3.85242
0.052	3.85159
0.053	3.85225
0.054	3.85044
0.055	3.85423
0.056	3.85159
0.057	3.85143
0.058	3.85275
0.059	3.85209
0.06	3.85077
0.061	3.85011
0.062	3.85225
0.063	3.85373
0.064	3.85209
0.065	3.85242
0.066	3.84978
0.067	3.85357
0.068	3.85275
0.069	3.85373
0.07	3.84962
0.071	3.85176
0.072	3.8511
0.073	3.85357
0.074	3.85209
0.075	3.85044
0.076	3.85143
0.077	3.85291
0.078	3.8511
0.079	3.85159
0.08	3.85192
0.081	3.85275
0.082	3.85242
0.083	3.84879
0.084	3.85209
0.085	3.85176
0.086	3.85192
0.087	3.85308
0.088	3.85209
0.089	3.85291
0.09	3.85242
0.091	3.85291
0.092	3.85291
0.093	3.85225
0.094	3.84846
0.095	3.85308
0.096	3.85176
0.097	3.85192
0.098	3.85341
0.099	3.85159
0.1	3.85192
0.101	3.85209
0.102	3.85077
0.103	3.8511
0.104	3.8511
0.105	3.85308
0.106	3.85308
0.107	3.85242
0.108	3.85275
0.109	3.85143
0.11	3.85324
0.111	3.85357
0.112	3.8511
0.113	3.85192
0.114	3.85472
0.115	3.85555
0.116	3.84962
0.117	3.85126
0.118	3.85275
0.119	3.85373
0.12	3.85324
0.121	3.8511
0.122	3.85489
0.123	3.84945
0.124	3.85077
0.125	3.85192
0.126	3.85242
0.127	3.85077
0.128	3.84945
0.129	3.84978
0.13	3.85308
0.131	3.85308
0.132	3.85242
0.133	3.85209
0.134	3.85308
0.135	3.85406
0.136	3.85308
0.137	3.85291
0.138	3.85373
0.139	3.85373
0.14	3.85357
0.141	3.85061
0.142	3.85028
0.143	3.85275
0.144	3.85258
0.145	3.85275
0.146	3.84781
0.147	3.85291
0.148	3.85357
0.149	3.85308
0.15	3.85406
0.151	3.85242
0.152	3.85093
0.153	3.85571
0.154	3.8511
0.155	3.85373
0.156	3.85456
0.157	3.85143
0.158	3.85126
0.159	3.85242
0.16	3.85176
0.161	3.85406
0.162	3.85143
0.163	3.85291
0.164	3.85192
0.165	3.85357
0.166	3.85275
0.167	3.85143
0.168	3.85061
0.169	3.85291
0.17	3.85061
0.171	3.85159
0.172	3.85275
0.173	3.85406
0.174	3.85209
0.175	3.85308
0.176	3.85373
0.177	3.85061
0.178	3.85061
0.179	3.85044
0.18	3.85423
0.181	3.84797
0.182	3.85291
0.183	3.85439
0.184	3.84995
0.185	3.85176
0.186	3.8511
0.187	3.85308
0.188	3.85258
0.189	3.84962
0.19	3.85275
0.191	3.85159
0.192	3.85341
0.193	3.85209
0.194	3.85505
0.195	3.85291
0.196	3.84978
0.197	3.84929
0.198	3.85143
0.199	3.85044
0.2	3.85176
0.201	3.85373
0.202	3.84995
0.203	3.84945
0.204	3.85275
0.205	3.85258
0.206	3.84995
0.207	3.85044
0.208	3.85341
0.209	3.85225
0.21	3.85225
0.211	3.84995
0.212	3.85077
0.213	3.85192
0.214	3.85291
0.215	3.85093
0.216	3.85209
0.217	3.85291
0.218	3.85077
0.219	3.85126
0.22	3.85291
0.221	3.85192
0.222	3.84978
0.223	3.85077
0.224	3.85143
0.225	3.85308
0.226	3.85308
0.227	3.85176
0.228	3.85308
0.229	3.85373
0.23	3.85373
0.231	3.85209
0.232	3.85275
0.233	3.85357
0.234	3.85159
0.235	3.85209
0.236	3.85373
0.237	3.85143
0.238	3.85357
0.239	3.85291
0.24	3.85176
0.241	3.85258
0.242	3.84929
0.243	3.85308
0.244	3.85258
0.245	3.85077
0.246	3.8511
0.247	3.84945
0.248	3.84912
0.249	3.85126
0.25	3.85225
0.251	3.85275
0.252	3.85225
0.253	3.85357
0.254	3.85077
0.255	3.85291
0.256	3.85341
0.257	3.85373
0.258	3.8539
0.259	3.8511
0.26	3.85341
0.261	3.85143
0.262	3.84962
0.263	3.85308
0.264	3.85126
0.265	3.85077
0.266	3.85341
0.267	3.85077
0.268	3.85176
0.269	3.85209
0.27	3.85192
0.271	3.85291
0.272	3.85209
0.273	3.85093
0.274	3.85176
0.275	3.85308
0.276	3.85373
0.277	3.85143
0.278	3.85275
0.279	3.84978
0.28	3.8539
0.281	3.85275
0.282	3.85209
0.283	3.85275
0.284	3.85126
0.285	3.85126
0.286	3.85258
0.287	3.85308
0.288	3.85242
0.289	3.85275
