 Time (s)	Period	Pulse duration	Duty cycle
0.000000E+0	1.023981E-3	9.433315E-4	9.212397E-1
4.990000E+2	1.023381E-3	9.263277E-4	9.051642E-1
1.000000E+3	1.022739E-3	8.103038E-4	7.922883E-1
1.499000E+3	1.023447E-3	6.631736E-4	6.479803E-1
1.999000E+3	1.024060E-3	4.756484E-4	4.644734E-1
2.500000E+3	1.022038E-3	3.103681E-4	3.036758E-1
2.999000E+3	1.023818E-3	1.759653E-4	1.718717E-1
3.499000E+3	1.023350E-3	8.313251E-5	8.123568E-2
3.999000E+3	1.023860E-3	5.952771E-5	5.814050E-2
4.499000E+3	1.023612E-3	1.116288E-4	1.090537E-1
4.999000E+3	1.023509E-3	2.153584E-4	2.104119E-1
5.499000E+3	1.023661E-3	3.631106E-4	3.547177E-1
5.999000E+3	1.024068E-3	5.476625E-4	5.347910E-1
6.500000E+3	1.023943E-3	7.159708E-4	6.992291E-1
6.999000E+3	1.023846E-3	8.634677E-4	8.433568E-1
7.500000E+3	1.024134E-3	9.515385E-4	9.291155E-1
7.999000E+3	1.024173E-3	9.798306E-4	9.567044E-1
8.500000E+3	1.023625E-3	9.355267E-4	9.139346E-1
8.999000E+3	1.023912E-3	8.356441E-4	8.161290E-1
9.500000E+3	1.023185E-3	6.758034E-4	6.604896E-1
9.999000E+3	1.023848E-3	5.036375E-4	4.919063E-1
1.049900E+4	1.023643E-3	3.242716E-4	3.167818E-1
1.100000E+4	1.023963E-3	1.839323E-4	1.796278E-1
1.149900E+4	1.023443E-3	8.777005E-5	8.575962E-2
1.199900E+4	1.023840E-3	5.954634E-5	5.815983E-2
1.250000E+4	1.023947E-3	9.576881E-5	9.352911E-2
1.299900E+4	1.022866E-3	2.037720E-4	1.992166E-1
1.349900E+4	1.023840E-3	3.518168E-4	3.436247E-1
1.400000E+4	1.007867E-3	5.197181E-4	5.156612E-1
1.450000E+4	1.022882E-3	7.037629E-4	6.880195E-1
1.499900E+4	1.022108E-3	8.420237E-4	8.238112E-1
